Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08022024,2833420358,0002309
Trade Date <08-FEB-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1269,MAFANG,EQ,487878,265764,54.47
20,1270,MAGADSUGAR,EQ,20969,8928,42.58
20,1271,MAGNUM,EQ,149058,88268,59.22
20,1272,MAGSON,SM,8000,8000,100.00
20,1273,MAHABANK,EQ,106838935,33320467,31.19
20,1274,MAHAPEXLTD,EQ,14755,5390,36.53
20,1275,MAHASTEEL,EQ,144952,80127,55.28
20,1276,MAHEPC,EQ,100773,54885,54.46
20,1277,MAHESHWARI,EQ,29628,21396,72.22
20,1278,MAHICKRA,SM,27000,25500,94.44
20,1279,MAHKTECH,EQ,866210,681914,78.72
20,1280,MAHLIFE,EQ,242527,83910,34.60
20,1281,MAHLOG,EQ,159801,88717,55.52
20,1282,MAHSCOOTER,EQ,4167,2564,61.53
20,1283,MAHSEAMLES,EQ,177250,113402,63.98
20,1284,MAITHANALL,EQ,57890,28115,48.57
20,1285,MAITREYA,SM,32000,22400,70.00
20,1286,MAKEINDIA,EQ,21719,13183,60.70
20,1287,MAKS,ST,1500,1500,100.00
20,1288,MAL,SM,32000,20800,65.00
20,1289,MALLCOM,EQ,15436,8293,53.73
20,1290,MANAKCOAT,EQ,68147,49683,72.91
20,1291,MANAKSIA,EQ,205786,100997,49.08
20,1292,MANALIPETC,EQ,2160248,1033636,47.85
20,1293,MANAPPURAM,EQ,31618644,12252779,38.75
20,1294,MANAV,SM,4000,4000,100.00
20,1295,MANGALAM,EQ,221540,99162,44.76
20,1296,MANGCHEFER,EQ,6565872,2996298,45.63
20,1297,MANGLMCEM,EQ,297347,103209,34.71
20,1298,MANINFRA,EQ,582202,344947,59.25
20,1299,MANKIND,EQ,1948608,1204130,61.79
20,1300,MANORAMA,EQ,8481,5469,64.49
20,1301,MANORG,EQ,15841,11173,70.53
20,1302,MANYAVAR,EQ,163587,86319,52.77
20,1303,MAPMYINDIA,EQ,76796,41329,53.82
20,1304,MARALOVER,EQ,182711,98352,53.83
20,1305,MARATHON,EQ,248321,89314,35.97
20,1306,MARCO,SM,3000,3000,100.00
20,1307,MARICO,EQ,1062206,728460,68.58
20,1308,MARINE,EQ,290984,182256,62.63
20,1309,MARINETRAN,SM,4000,4000,100.00
20,1310,MARKSANS,EQ,617490,345582,55.97
20,1311,MARSHALL,EQ,245702,155033,63.10
20,1312,MARUTI,EQ,557082,245010,43.98
20,1313,MASFIN,EQ,78089,43948,56.28
20,1314,MASPTOP50,EQ,97144,74563,76.76
20,1315,MASTEK,EQ,32134,15933,49.58
20,1316,MASTER,SM,1000,1000,100.00
20,1317,MATRIMONY,EQ,29909,23079,77.16
20,1318,MAWANASUG,EQ,608745,314069,51.59
20,1319,MAXESTATES,EQ,114989,70499,61.31
20,1320,MAXHEALTH,EQ,2225158,1593442,71.61
20,1321,MAXPOSURE,SM,264000,172000,65.15
20,1322,MAYURUNIQ,EQ,221600,147128,66.39
20,1323,MAZDA,EQ,5687,1953,34.34
20,1324,MAZDOCK,EQ,813519,236562,29.08
20,1325,MBAPL,EQ,11918,9159,76.85
20,1326,MCDOWELL-N,EQ,1155336,887096,76.78
20,1327,MCLEODRUSS,EQ,3483661,2035313,58.42
20,1328,MCON,SM,3000,3000,100.00
20,1329,MCX,EQ,686140,282265,41.14
20,1330,MDL,ST,32000,32000,100.00
20,1331,MEDANTA,EQ,234618,128400,54.73
20,1332,MEDIASSIST,EQ,614528,333512,54.27
20,1333,MEDICAMEQ,EQ,31476,22728,72.21
20,1334,MEDICO,EQ,423232,189537,44.78
20,1335,MEDPLUS,EQ,578605,413829,71.52
20,1336,MEGAFLEX,ST,3000,3000,100.00
20,1337,MEGASTAR,EQ,11603,6904,59.50
20,1338,MEGATHERM,ST,1653600,1480800,89.55
20,1339,MENONBE,EQ,293723,139600,47.53
20,1340,MEP,EQ,6469728,4337117,67.04
20,1341,METROBRAND,EQ,170449,63076,37.01
20,1342,METROPOLIS,EQ,393623,192657,48.94
20,1343,MFSL,EQ,3337092,1755950,52.62
20,1344,MGEL,EQ,913245,614129,67.25
20,1345,MGL,EQ,448628,219004,48.82
20,1346,MHHL,SM,18000,13500,75.00
20,1347,MHRIL,EQ,191763,101302,52.83
